,MultipleLines,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,Churn
4717,1,1,1,110.7,4428.6,0
3166,0,0,0,48.8,664.4,0
3858,0,1,1,86.95,4138.9,0
1270,1,0,0,24.65,1574.5,0
4174,0,0,0,28.6,973.55,1
3821,1,0,0,74.2,74.2,1
2895,0,0,0,19.85,717.5,0
3680,0,1,0,40.65,328.95,1
5820,0,1,0,59.8,3561.15,0
618,1,0,0,87.55,4884.85,0
6025,0,0,0,45.2,1841.9,0
5185,0,1,0,70.8,3478.15,0
3664,0,0,0,50.8,202.3,0
4531,1,0,0,79.35,661.25,1
3113,1,1,1,95.4,3474.2,0
4180,0,0,0,24.35,41.85,1
1413,1,0,0,94.55,6078.75,0
2201,0,1,1,85.85,3003.55,0
2001,0,0,0,20.15,117.95,0
5252,1,1,1,107.5,7713.55,0
869,1,0,0,26.4,121.25,0
2358,0,0,0,19.7,1140.05,0
2006,1,0,0,47.15,223.15,1
3090,0,1,0,53.5,53.5,1
4472,0,0,0,80.35,5375.15,0
4874,0,0,0,83.9,3233.6,1
356,1,0,0,54.1,889,0
1162,0,0,1,72.35,4991.5,0
5347,1,1,1,116.95,8594.4,0
3064,0,0,0,68.65,1493.2,0
3125,0,0,0,19.0,78.9,0
3492,0,0,0,29.2,98.5,0
5484,1,1,1,99.35,6856.45,0
3749,1,1,1,93.85,196.75,1
6945,1,1,1,98.3,6859.5,1
1890,0,0,0,21.0,21,1
579,0,0,0,19.65,38.8,0
2319,0,1,1,90.6,1020.2,0
5628,1,1,0,96.65,1244.5,1
1691,0,0,0,19.65,1161.75,0
862,0,0,0,73.65,1463.5,1
4765,0,1,0,35.8,1316.9,0
4522,0,0,0,20.7,587.1,0
2380,1,1,1,103.75,5969.95,0
2378,0,0,0,70.3,2416.55,1
4960,1,1,1,95.7,4816.7,1
5451,1,1,0,95.65,6856.95,0
4625,0,0,0,74.05,600.15,0
1116,1,0,0,24.25,914.4,0
1541,0,0,0,19.85,1434.1,0
6960,1,1,0,95.55,3930.6,0
5416,0,1,1,95.0,5535.8,0
6478,1,1,1,110.8,6640.7,0
3649,1,0,0,25.35,1847.55,0
4751,1,0,0,23.15,245.2,1
5623,0,0,0,51.1,2092.9,0
3297,1,1,1,84.35,3571.6,0
4706,0,0,0,44.45,44.45,1
6167,0,0,1,90.05,4137.2,0
2500,0,1,1,75.5,4025.6,0
6220,0,0,1,53.7,521,0
6229,1,1,1,85.45,6227.5,0
6239,1,1,1,99.4,7285.7,0
6247,1,1,0,89.55,5231.2,0
6930,1,0,0,75.15,216.75,1
6538,0,0,0,79.85,152.45,1
5300,0,1,0,80.05,80.05,1
6715,1,1,0,89.2,990.3,0
6711,1,1,1,98.35,4889.2,0
3409,1,1,1,113.65,7714.65,0
6726,0,0,0,70.75,154.85,1
5231,1,1,1,98.75,1587.55,1
4677,0,1,1,99.85,990.9,1
6753,1,0,1,68.75,3815.4,0
2052,1,1,1,103.85,4946.05,0
1776,1,0,0,25.0,1802.55,0
3499,0,0,0,20.9,20.9,1
4305,0,0,0,19.55,521.8,0
2536,1,0,0,25.3,676.35,1
5054,0,0,0,54.45,3674.95,0
3731,0,0,0,69.8,146.65,0
1592,0,1,0,77.95,3384,1
1723,0,0,0,20.1,100.35,0
5510,0,1,1,101.3,1794.65,0
2611,0,0,0,70.3,738.2,1
4786,1,1,1,103.65,7634.8,0
490,1,1,1,104.8,6597.25,0
5921,0,1,1,78.2,2078.95,0
2910,1,0,0,25.4,949.8,0
1006,1,0,1,90.1,1612.75,1
4230,0,0,0,73.5,791.75,1
2503,0,0,0,20.6,926,0
4436,0,0,0,60.6,1297.8,0
2314,1,1,1,93.25,6688.95,0
2554,0,0,0,50.0,892.7,0
1417,0,0,0,49.85,865.75,0
3096,0,1,1,61.4,4310.35,0
25,0,0,0,55.3,1530.6,0
2409,0,1,1,60.0,1682.05,0
1113,1,0,0,78.95,2839.65,1
4176,0,0,0,19.8,342.3,0
1552,1,1,1,80.55,2471.6,0
6017,0,0,0,56.15,291.45,0
5259,1,0,0,77.9,2351.45,0
5672,1,0,1,71.8,3472.05,0
433,0,0,0,45.4,518.9,1
4084,0,1,0,78.05,78.05,1
2655,1,1,0,89.6,365.65,1
3927,0,0,0,20.55,51.15,1
4771,0,1,0,79.4,244.65,1
5206,0,0,0,65.6,2313.8,0
1127,0,0,0,66.25,1533.8,0
4313,0,0,0,79.1,1783.75,0
5224,1,1,1,100.15,4459.8,0
5552,0,0,0,20.25,488.25,0
2518,1,1,1,99.65,2404.85,0
6769,0,0,0,19.85,916,0
1102,0,0,0,56.15,168.15,1
6060,0,1,0,87.1,713.6,0
4773,0,1,1,53.95,2375.4,1
4248,1,0,0,90.55,5116.6,0
5219,0,0,0,20.6,20.6,0
4890,0,1,0,92.55,4779.45,0
194,0,0,0,19.3,1192.7,0
615,1,0,0,48.85,631.4,0
643,0,0,1,89.85,4287.2,0
5062,0,1,1,55.9,2184.35,1
3116,0,0,1,89.15,3990.75,0
3410,0,1,0,53.4,188.7,1
2776,0,0,0,74.3,1178.25,1
5774,0,0,1,65.6,339.9,0
5951,1,1,1,100.3,3541.4,0
5902,0,0,0,50.85,466.6,0
330,0,0,0,19.85,739.35,0
2207,0,1,0,86.25,587.1,1
5049,0,0,0,20.2,20.2,1
6515,0,0,0,25.1,712.85,1
2670,1,1,0,95.15,5000.05,0
972,0,1,0,70.1,4048.95,0
483,1,1,1,108.5,8003.8,0
2420,0,1,0,38.55,156.1,0
2602,1,1,1,111.45,7266.95,0
719,1,0,0,80.35,5589.3,0
3624,1,0,1,96.1,6019.35,0
2059,1,1,0,92.95,3415.25,0
2803,0,0,0,19.65,779.25,0
2566,1,1,1,91.55,5963.95,0
4704,1,0,0,61.15,61.15,0
32,0,0,0,66.15,1874.45,0
664,0,0,0,19.5,1167.6,0
5540,0,0,0,20.55,20.55,1
5303,0,0,0,40.45,1912.85,0
5813,1,1,1,111.8,5443.65,0
1444,0,1,1,111.15,4507.15,0
3355,1,0,0,90.2,6297.65,0
2792,0,0,0,48.85,736.8,0
4956,0,1,1,94.45,742.95,1
6864,0,0,0,25.3,77.75,1
1705,1,0,0,90.45,5044.8,0
5170,0,0,0,19.65,19.65,0
5502,0,0,0,71.8,1167.8,1
4734,0,1,1,80.0,3182.95,1
4063,1,0,1,94.85,953.45,1
4685,1,1,1,108.9,4854.3,0
3227,0,1,0,56.3,628.65,0
118,0,0,0,20.65,835.15,0
2277,1,1,1,109.15,6941.2,1
2905,0,0,0,79.2,1742.45,0
1401,0,1,1,99.8,442.85,1
739,1,1,1,89.85,6697.35,0
2456,1,0,0,24.55,1160.45,0
170,0,0,0,84.25,3539.25,0
540,1,1,1,113.1,8248.5,0
883,1,1,1,111.25,7511.65,0
5277,0,1,1,89.3,577.6,1
4722,0,1,0,70.15,4224.7,0
3443,0,1,0,98.15,4116.8,0
3800,1,0,0,90.95,5930.05,0
674,0,1,1,49.15,2550.9,1
3209,1,1,1,93.85,93.85,1
6507,1,0,1,93.4,5435.6,1
2915,0,1,1,63.8,4684.3,0
3286,1,1,1,95.45,3474.05,1
1815,0,0,0,20.5,1502.25,0
5389,0,0,0,69.15,3649.6,0
6117,0,0,0,19.3,1447.9,0
2100,1,1,1,99.5,6841.45,0
4593,0,0,0,20.3,246.3,0
6979,0,0,0,24.2,24.2,0
5933,1,1,1,105.0,294.45,1
2101,1,0,1,99.2,3754.6,1
5967,0,0,0,25.2,102.5,1
3922,1,1,1,94.65,6079,0
1548,0,1,0,85.9,2199.05,0
4216,1,1,1,92.0,6632.75,0
3470,0,0,0,51.3,411.6,0
355,0,0,1,80.25,846,1
4559,0,0,0,20.15,130.5,0
3774,1,1,1,80.85,4079.55,0
5363,1,0,0,25.35,1715.15,0
2535,1,1,1,92.2,6474.45,0
6234,1,0,0,25.3,1474.35,0
3220,1,0,1,77.3,5498.2,0
5018,0,0,0,19.7,1379.8,0
2373,0,0,0,49.4,3251.85,0
1051,0,0,1,35.5,552.7,0
3074,1,0,0,59.45,2136.9,0
2321,1,1,0,95.45,6223.3,0
6673,0,0,0,43.95,85.1,0
5058,0,0,0,48.8,1536.75,0
1751,1,1,0,89.95,1178.4,1
3941,0,0,0,20.25,174.7,0
1772,0,1,0,79.0,143.65,1
1196,1,1,1,85.25,5538.35,0
1878,0,0,0,20.75,67.1,0
2668,0,0,0,19.75,19.75,1
7028,0,1,0,64.1,4326.25,0
2016,1,0,1,86.45,830.85,1
2005,1,1,1,100.45,4941.8,1
5712,0,0,0,20.3,470.6,0
1482,0,1,1,96.85,1235.55,0
3237,0,0,0,19.85,1267.05,0
328,0,1,0,35.9,973.65,0
648,1,0,1,89.5,161.5,1
2945,0,0,0,75.6,661.55,0
3418,1,1,1,109.55,6118.95,0
1123,0,0,0,61.6,1611,0
6541,0,0,0,20.5,398.55,0
2788,1,0,0,85.45,6028.95,0
4113,0,0,0,20.35,695.85,0
6103,0,0,0,19.75,294.9,0
3971,1,0,0,24.75,692.1,1
3915,0,0,0,81.25,4639.45,0
5897,1,0,0,23.9,1626.4,0
1259,0,1,1,95.25,4424.2,1
5157,0,0,1,68.25,1114.85,0
5888,1,1,1,95.6,4783.5,1
7038,1,1,1,84.8,1990.5,0
1519,0,0,1,42.6,72.4,1
1378,1,1,0,66.8,3970.4,0
5140,0,1,1,89.25,89.25,0
1023,0,0,1,86.1,3861.45,0
6434,0,0,0,50.5,50.5,1
2918,0,0,1,43.35,371.4,0
4814,1,1,0,90.0,1993.8,1
5009,1,1,1,115.8,7942.15,0
5286,0,0,0,74.5,609.9,1
912,1,1,1,106.1,7848.5,0
2857,0,0,1,63.8,3007.25,0
6195,1,0,0,72.2,305.55,1
1675,0,1,0,78.9,2384.15,1
1746,1,1,1,116.45,8013.55,0
3026,1,1,0,84.95,1378.25,1
532,0,1,0,79.95,174.45,0
1736,0,0,0,19.5,19.5,1
1629,0,0,1,70.95,4741.45,0
5065,1,0,0,24.9,847.8,0
430,0,0,0,19.4,1182.55,1
1808,1,0,0,79.15,1676.95,1
4477,0,0,0,48.95,955.6,0
4860,0,0,0,40.55,590.35,0
4393,1,0,1,86.5,1808.7,1
4577,1,1,1,104.85,6312.9,0
234,1,0,0,25.15,702,0
5654,0,1,1,105.35,7511.9,0
2222,1,1,1,101.15,3956.7,0
4292,1,0,0,73.9,2217.15,1
6237,0,0,0,69.95,69.95,1
6896,0,0,0,43.95,43.95,1
5132,1,1,0,66.2,4692.55,0
6282,0,0,0,19.55,68.8,0
1948,0,0,1,80.75,159.45,1
5384,1,1,0,64.4,253,0
6250,1,1,1,99.15,6875.35,0
6596,1,1,0,81.25,5567.55,0
6447,0,1,1,79.0,4801.1,0
1995,0,0,0,69.95,69.95,1
2671,1,1,1,105.4,6713.2,0
5861,0,0,0,19.25,677.9,0
2224,0,0,0,76.45,1233.4,1
1106,1,1,1,97.45,6253,0
5805,0,1,0,66.4,1286.05,0
818,1,1,1,111.2,2317.1,1
5945,0,1,0,95.3,5567.45,0
4104,0,0,0,49.55,393.45,0
5639,0,0,0,20.65,109.3,0
5117,0,1,1,61.35,4193.4,0
1697,0,1,0,75.55,4707.85,0
3558,1,1,1,92.2,2568.15,0
136,0,0,0,75.0,1778.5,0
1642,0,0,0,19.85,573.05,0
5418,1,0,0,80.55,1411.65,0
4075,0,0,1,46.3,2546.85,0
6636,1,1,0,70.3,676.15,0
1180,0,0,0,49.8,1971.15,0
4416,1,1,1,75.4,1322.55,0
888,0,1,1,91.2,3247.55,0
2987,0,0,0,20.1,670.35,0
6801,1,0,1,89.35,1686.85,0
2437,0,0,0,61.4,438.9,0
3580,0,1,1,72.9,651.4,1
4043,0,1,1,64.05,3886.85,0
817,0,1,1,103.7,5656.75,0
1111,0,0,1,94.4,387.2,1
4863,0,0,0,20.75,1123.15,0
2341,1,1,1,114.9,7843.55,0
3167,0,0,1,74.35,4759.55,0
7039,1,1,1,103.2,7362.9,0
5937,1,0,1,84.0,613.4,1
4620,1,1,1,115.8,8332.15,0
3065,0,0,0,45.8,45.8,0
1264,0,1,1,95.2,6671.7,0
990,0,0,0,80.3,4513.65,0
1464,0,0,1,64.95,547.8,0
1739,0,0,0,69.9,69.9,1
6245,1,1,1,80.1,4693.2,0
4986,1,0,0,79.55,958.25,0
353,1,0,0,84.8,371.9,1
5368,0,0,0,70.3,235.5,1
5485,0,0,0,50.75,50.75,0
3442,0,1,1,98.8,2807.1,0
4943,0,1,1,84.4,5969.3,0
1489,0,0,0,57.75,1282.85,0
5633,1,0,0,26.35,184.05,0
6011,0,0,0,19.35,683.75,0
3130,0,1,1,74.4,1712.9,0
1228,1,1,1,100.85,4847.35,0
4190,1,1,0,96.2,1222.05,1
6264,0,1,1,100.1,4378.35,0
3764,1,0,0,25.2,245.15,0
6665,0,0,0,29.3,1224.05,0
4012,0,0,0,50.55,50.55,1
6588,1,0,0,23.85,625.65,0
52,1,1,0,69.5,1752.65,0
4217,1,0,0,75.1,1013.35,0
4563,1,0,0,80.05,830.7,1
4932,0,0,0,80.65,2209.75,0
3085,1,1,1,105.35,323.25,1
159,1,0,0,25.7,251.6,0
4338,0,1,0,45.4,214.75,0
1587,1,0,0,26.3,1245.05,0
1589,0,1,0,64.95,493.65,0
1479,0,1,1,49.05,2265,0
5432,0,1,1,76.4,160.8,1
3145,0,0,0,76.65,333.6,1
1469,1,1,1,98.8,3475.55,1
4629,0,0,0,19.3,279.3,0
3094,0,1,0,58.6,2224.5,0
3891,1,0,0,56.1,2386.85,0
3534,0,1,1,105.2,4822.85,1
2078,0,0,0,55.85,857.8,0
6895,0,0,1,46.0,2424.05,0
4423,0,1,0,66.4,2245.4,0
4309,0,1,1,50.6,1073.3,0
6939,0,0,1,89.2,3251.3,0
3630,0,0,0,20.95,85.5,1
2828,0,0,0,20.45,20.45,0
436,0,0,0,20.85,720.05,0
5914,0,0,0,54.3,1296.8,0
6818,0,0,1,71.1,213.35,0
2960,1,1,1,100.75,2095,1
4692,0,1,1,100.7,1522.7,0
1588,1,1,1,106.8,5347.95,0
4591,0,0,0,21.2,222.65,0
2780,0,1,0,74.3,1863.8,1
5439,1,1,1,96.15,3019.25,1
1590,0,0,0,19.35,1263.85,0
4340,0,0,0,48.65,235.2,0
973,0,0,0,30.35,1359.7,1
1238,1,1,1,96.15,1529.2,1
2951,0,0,1,64.15,1274.45,0
2342,1,1,1,106.4,3211.9,0
5095,0,0,0,45.05,2462.6,0
4210,1,1,0,65.2,3965.05,0
4520,0,0,0,19.95,19.95,1
6014,0,1,1,94.1,5060.9,0
2231,0,0,0,70.0,740,1
5270,0,0,0,55.25,2139.2,1
1497,0,0,0,79.15,4018.55,0
449,0,1,1,105.5,7611.55,0
2369,1,0,1,99.25,6549.45,0
6817,1,0,0,25.85,1872.2,0
3429,0,0,0,19.55,1007.9,0
4369,0,0,0,24.75,66.95,1
2422,0,0,0,70.05,70.05,0
6378,0,0,1,84.05,1095.3,1
5683,0,1,1,50.75,2011.4,1
6304,0,1,0,77.65,714.15,1
1551,1,0,0,25.25,566.5,0
6244,1,1,1,99.05,5295.7,0
1146,0,0,0,35.6,1072.6,0
4610,1,1,1,117.8,8684.8,1
2092,1,0,1,79.55,5810.9,0
1313,1,1,1,109.55,5124.55,1
2015,1,0,0,49.9,1410.25,0
187,0,0,0,30.4,82.15,0
3816,1,0,1,75.15,3822.45,0
3426,0,0,0,69.8,69.8,1
6066,0,1,1,94.95,178.1,1
1381,0,0,0,70.7,129.2,0
5697,1,1,1,109.5,7674.55,1
413,1,0,0,87.35,4473,0
6380,1,1,1,104.35,6578.55,0
3455,0,1,1,90.55,90.55,1
941,0,0,0,30.15,382.2,0
801,1,1,1,98.5,1058.25,1
3336,0,0,0,20.3,1079.05,0
6597,0,1,1,70.75,450.8,1
2750,0,0,0,19.45,69.25,0
5292,0,0,0,33.7,1537.85,0
4318,0,1,1,75.75,4284.65,0
256,1,1,1,115.1,7008.15,0
4035,1,0,1,93.25,4631.7,0
6907,0,0,0,70.25,2868.05,1
3199,1,0,0,25.5,1821.8,0
2235,1,1,0,78.35,3211.2,0
647,1,1,0,69.65,3442.15,0
1767,1,1,1,115.15,8078.1,0
4825,1,0,1,83.05,1799.3,0
5918,0,0,0,19.5,1147.85,0
5025,0,0,0,69.8,377.85,0
5947,1,0,0,24.5,740.3,1
5670,1,0,0,24.1,409.9,1
24,0,0,0,59.6,2970.3,0
5566,1,1,1,82.15,5784.3,0
1088,1,1,1,100.45,1622.45,1
5169,0,0,1,64.85,950.75,0
2694,0,0,0,19.65,169.75,0
4630,1,0,0,65.05,1427.55,0
4438,1,0,0,24.95,1222.25,0
112,0,1,0,91.65,3954.1,0
2841,0,0,0,25.1,79.8,0
2311,0,1,1,104.5,5068.05,0
3441,0,0,0,60.8,2042.05,0
3875,1,1,1,111.95,4534.9,1
6689,1,1,1,112.35,7388.45,0
6475,1,1,0,75.9,1375.6,0
56,1,1,1,99.65,6311.2,0
1309,1,1,0,85.2,1553.9,1
695,0,0,0,20.65,20.65,0
5125,1,1,1,94.0,1078.9,1
1227,1,0,0,90.4,2820.65,0
1999,1,0,0,74.95,1710.45,1
276,1,1,1,105.05,5624.85,1
4694,0,0,0,19.85,252,0
4060,1,0,1,63.35,3409.1,0
1833,0,0,0,47.95,47.95,0
6194,1,0,0,83.65,5733.4,0
682,0,1,0,64.4,195.65,0
4228,0,0,0,68.5,68.5,1
6632,1,0,0,62.65,2274.9,1
5093,1,1,0,66.15,3199,0
4011,0,0,0,19.65,451.55,0
1137,0,0,0,19.8,1396.25,0
2767,1,0,0,84.8,3958.85,0
4712,1,1,1,108.25,5431.4,0
6064,0,1,1,45.3,45.3,1
942,0,0,1,79.85,2001,0
1036,1,1,1,114.7,7849.85,0
5532,0,0,0,20.9,689.35,0
5674,0,0,1,49.85,3210.35,0
1346,1,0,1,87.25,1258.6,1
3575,0,1,1,51.7,3005.8,0
4103,1,0,1,90.8,6511.8,0
2784,0,1,1,98.1,396.3,1
4323,1,1,0,84.05,2781.85,1
2384,1,0,1,91.05,4370.75,0
2988,1,1,1,109.65,7880.25,0
115,0,1,0,89.85,248.4,0
4906,1,1,0,95.9,6954.15,0
3400,1,1,0,84.3,1537.9,0
7007,0,1,1,63.1,4685.55,0
3119,1,1,0,85.95,2628.6,1
6953,1,0,1,82.0,1127.2,1
4989,0,0,0,29.8,201.95,0
6893,0,0,0,55.9,365.35,1
2819,0,0,0,55.2,220.65,0
6021,0,0,0,20.45,254.5,0
4855,0,1,1,104.05,6605.55,0
5862,0,0,0,70.5,1165.6,0
5790,0,1,1,50.85,2036.55,0
81,0,1,1,50.55,565.35,0
3021,0,0,0,19.95,107.05,0
1972,1,0,1,85.6,1868.4,0
1714,1,0,1,76.75,5233.25,0
3536,1,0,0,79.15,79.15,0
4516,1,1,1,87.55,6463.15,0
5296,0,0,0,41.1,2258.25,0
3908,1,1,1,116.05,6925.9,0
6134,0,0,0,44.7,276.5,0
1946,1,1,0,90.4,5099.15,0
4336,1,1,1,110.1,7746.7,0
4110,0,0,1,67.95,4664.15,0
4938,0,1,0,89.4,1539.45,1
3488,1,0,1,59.9,542.4,0
1610,0,0,0,60.5,3121.45,0
6938,1,0,1,69.9,4615.9,0
1251,0,0,0,75.8,75.8,1
4898,0,0,0,25.25,58.9,1
3070,0,0,1,50.95,307.6,0
5302,0,0,1,65.5,616.9,0
6879,0,1,0,86.05,1818.9,0
6599,1,1,0,94.1,1215.6,1
5426,1,1,1,75.2,3901.25,0
5464,0,0,0,20.75,499.4,0
3375,0,0,0,19.9,1389.35,0
665,0,0,0,74.75,238.1,0
2194,0,1,0,79.5,79.5,1
4604,0,1,1,99.1,6496.15,0
5992,1,0,1,72.45,4653.85,1
1017,1,0,0,24.4,1601.2,0
557,0,1,0,70.6,2708.2,0
6127,1,1,1,109.8,6109.65,0
6778,0,0,0,19.75,1567,0
1207,0,1,1,69.4,571.45,0
4003,0,0,0,20.3,743.05,0
4209,0,0,0,54.9,2549.1,0
1510,1,0,1,80.4,5727.15,0
3718,1,1,1,99.65,5497.05,0
6030,0,1,1,49.05,2076.2,1
3211,0,0,0,20.05,337.9,0
6831,1,0,1,86.8,620.35,1
5246,0,1,0,79.75,164.5,1
266,1,0,0,24.9,1195.25,0
3761,1,1,1,82.65,5919.35,0
1140,1,1,1,88.95,1161.75,0
3162,1,1,1,69.6,1394.55,0
2111,0,0,0,21.25,711.9,0
4991,0,1,1,106.45,6145.85,1
1909,0,0,0,20.65,150,0
6525,0,0,0,20.5,1177.95,0
6008,0,0,0,19.5,239.75,0
656,1,1,1,88.85,6132.7,0
6745,1,1,1,100.1,5440.9,1
6693,0,1,1,48.25,1293.8,0
4509,0,1,0,84.3,84.3,1
998,0,0,0,20.7,1492.1,0
5659,1,0,1,71.9,4479.2,0
2834,0,0,0,20.25,854.9,0
2809,0,0,0,36.65,1315,0
1784,0,0,0,20.35,77.5,1
1237,0,0,0,19.45,270.2,0
5865,0,0,0,20.85,72,0
5375,0,0,0,50.8,50.8,1
4379,1,1,0,89.95,5974.3,0
5269,0,1,0,59.65,638.95,0
6217,0,0,0,81.45,4983.05,0
6951,0,0,0,19.9,1022.6,0
2186,0,0,0,19.95,862.4,0
2913,0,1,1,63.9,3334.95,0
1134,0,0,0,81.95,2070.05,0
908,0,0,0,19.95,170.9,0
4638,1,0,0,75.55,166.3,1
1303,0,0,0,19.7,1396.9,0
6570,0,0,0,29.15,110.05,0
1627,0,0,0,75.9,866.4,0
4529,0,0,0,49.2,447.9,0
1522,0,0,1,68.85,1970.5,1
835,1,0,1,93.25,5774.55,0
358,0,0,0,30.75,805.1,1
138,0,0,0,19.6,1170.55,0
299,0,0,0,73.6,73.6,1
1556,0,1,0,91.7,91.7,1
1003,0,0,0,19.85,784.25,0
382,0,1,1,64.8,4732.35,0
4856,1,0,1,91.15,2995.45,1
5106,0,0,1,59.45,3043.7,0
4861,0,0,1,58.95,2789.7,0
761,0,1,1,89.25,1907.85,1
3686,1,0,0,75.0,999.45,1
5602,0,1,1,80.25,493.4,0
5164,1,0,0,53.65,404.35,0
5769,1,1,1,109.0,7661.8,0
6781,0,0,0,69.65,220.1,1
4870,1,0,0,64.4,3035.35,0
5692,0,0,0,54.8,452.8,0
4839,1,0,0,73.75,545.15,1
1402,0,0,1,35.0,553,1
4053,1,0,0,60.25,662.95,0
6046,0,0,1,85.3,781.4,0
2721,0,0,1,79.25,793.55,1
1932,0,0,0,20.2,20.2,0
5583,0,0,1,84.95,2169.75,1
3560,0,0,0,43.9,278.4,0
6329,0,1,1,104.4,4904.2,0
6364,1,0,0,25.85,788.55,0
6495,0,0,0,69.65,69.65,1
5607,0,1,1,55.8,2109.35,1
3055,1,0,0,75.2,3678.3,1
6016,1,1,1,108.45,7176.55,1
3949,1,0,0,57.65,992.7,0
4908,1,1,1,106.15,3152.5,1
2685,1,1,0,100.65,7334.05,0
7012,1,1,1,84.95,5150.55,0
58,1,0,0,24.95,894.3,0
76,0,0,1,55.65,2688.85,0
796,1,0,0,81.7,2548.65,0
2416,1,1,1,100.5,2673.45,0
2248,1,0,0,54.45,1588.7,0
5146,1,0,1,86.2,893.2,0
785,1,1,1,110.0,4874.8,1
4046,1,0,0,50.15,2139.1,0
6855,0,0,1,67.7,2882.25,0
3158,0,0,0,49.55,878.35,1
3106,0,0,0,19.4,1023.95,0
123,0,0,0,50.7,350.35,0
2217,1,1,1,89.9,5958.85,0
5176,0,0,1,45.8,1147,0
3682,0,0,0,69.1,69.1,1
5080,1,0,1,93.15,6368.2,0
3838,1,1,1,100.5,2599.95,0
6871,1,1,0,94.6,5025.8,0
6044,1,0,0,76.6,893,0
910,0,0,0,72.85,688.65,1
2172,0,0,0,43.95,43.95,0
1850,1,0,0,67.45,3252,0
2309,1,1,0,90.45,5229.8,0
6590,0,0,0,70.85,70.85,1
3634,1,1,1,113.8,7845.8,0
1257,0,0,1,34.2,1596.6,0
2495,0,0,0,20.25,814.75,0
5307,0,1,1,90.1,90.1,0
4511,0,1,1,80.85,1445.95,0
3501,1,1,0,76.45,4519.5,0
1178,0,1,1,101.35,1553.95,1
5747,1,1,0,72.8,2333.05,0
6794,0,0,0,19.55,876.15,0
3650,1,0,0,24.65,1766.75,0
442,1,1,1,114.65,6049.5,0
5395,0,1,0,81.0,389.6,1
1399,0,0,0,19.55,294.5,0
2973,0,1,1,100.15,6283.3,1
2884,1,1,1,90.15,6716.45,0
1457,1,1,1,108.3,4586.15,0
4322,0,0,0,70.15,123.8,0
6707,1,0,0,25.7,1937.4,0
3459,1,0,0,25.1,789.55,0
1054,1,1,1,97.1,3706.95,1
3733,0,0,0,35.05,844.45,0
4163,1,0,0,67.05,4309.55,0
3275,0,0,0,20.4,292.4,0
5396,0,0,0,20.1,644.5,0
3699,0,0,1,70.25,2198.9,0
929,0,0,1,86.45,2538.05,0
1415,0,1,1,100.3,6603.8,0
2372,1,1,1,90.3,6287.3,0
4974,0,0,0,36.85,108.7,1
1829,1,0,0,74.85,572.45,0
6838,1,1,1,99.0,1301.7,1
3898,1,0,0,25.05,1171.5,0
4568,0,0,0,85.2,2184.6,0
4937,0,1,0,76.35,2606.35,0
6456,0,0,0,70.35,3533.6,0
1502,1,0,0,55.35,2633.95,0
5669,0,1,1,100.55,4304,0
1450,0,0,0,19.35,152.6,0
4668,0,0,1,61.2,125.95,0
2011,1,1,1,85.7,4616.1,0
5335,0,1,1,96.9,6314.35,0
3515,0,0,0,55.5,934.15,0
4781,0,0,0,19.5,1050.5,0
5953,0,0,0,50.7,50.7,0
6892,0,1,1,99.7,4977.2,0
3989,0,0,1,38.5,330.8,0
3264,0,1,0,91.1,964.35,0
5677,0,0,0,80.8,3132.75,0
5318,0,0,1,73.6,2316.85,0
5153,0,1,1,94.55,3851.45,0
4671,1,1,1,100.25,2387.75,1
6,1,1,0,89.1,1949.4,0
2980,1,0,0,25.45,1866.45,0
3739,1,0,0,24.6,592.65,0
2487,0,0,0,60.45,1440.75,0
3361,1,0,1,74.65,4869.35,0
678,1,1,1,107.95,313.6,0
1943,1,0,0,49.8,49.8,0
6037,1,1,1,109.4,7031.45,0
6480,0,0,0,53.45,718.1,0
5954,0,1,0,55.0,1165.55,0
5403,1,1,1,86.2,4524.05,0
6045,0,0,0,19.6,763.1,0
2607,0,0,0,69.75,69.75,1
6416,0,1,0,43.9,3097.2,0
4502,1,1,1,96.8,5283.95,1
6476,1,0,0,64.15,3491.55,0
4080,1,0,0,26.1,692.55,0
1064,0,0,0,55.7,795.15,0
2894,0,0,0,60.35,2896.4,1
4467,1,0,1,69.55,3435.6,0
4607,0,0,1,59.55,59.55,0
2242,1,0,0,24.85,1013.6,0
1474,1,0,1,95.95,4456.65,0
6926,0,0,0,73.85,4092.85,1
1889,0,0,0,31.1,419.7,0
3435,0,0,0,71.3,157.75,0
4367,0,0,0,54.1,1992.85,0
1053,0,0,1,39.5,210.75,1
3705,1,0,0,61.4,4059.85,0
2021,0,1,1,108.15,6825.65,0
6706,0,0,0,19.9,19.9,0
5015,1,1,0,65.0,2157.5,0
5962,0,0,0,80.75,1321.3,0
2658,0,0,0,18.8,255.55,0
2467,1,1,1,97.95,4917.9,0
5380,0,1,0,80.25,144.55,1
1130,0,0,0,19.15,515.75,0
1461,1,1,0,95.9,2234.95,0
5482,0,1,1,73.9,2405.05,1
6372,0,0,0,19.5,96.85,0
3365,0,0,0,19.65,358.15,0
6995,1,1,1,89.55,5012.35,0
4302,0,1,0,86.35,4267.15,0
3350,0,0,0,44.15,44.15,1
2968,0,0,1,90.4,268.45,0
222,0,0,0,20.2,20.2,0
6523,0,0,0,45.9,693.45,0
48,1,1,1,79.75,4217.8,0
573,1,1,1,100.3,5614.45,1
1236,1,0,0,76.95,228.4,1
