,Unnamed: 0,gender,SeniorCitizen,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
813,813,Male,0,34,No,No phone service,DSL,Yes,No,No,No,No,No,Bank transfer (automatic),30.4,938.65,No
814,814,Male,1,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.05,94.15,No
815,815,Female,0,25,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Mailed check,84.6,2088.05,No
816,816,Female,0,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Mailed check,86.2,178.7,Yes
817,817,Female,0,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),103.7,5656.75,No
818,818,Male,0,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Electronic check,111.2,2317.1,Yes
819,819,Male,0,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Credit card (automatic),88.0,5986.45,No
820,820,Female,0,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,106.35,6751.35,No
821,821,Male,0,43,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Credit card (automatic),79.15,3566.6,No
822,822,Male,0,47,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Electronic check,103.1,4889.3,No
823,823,Male,0,5,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Credit card (automatic),63.95,318.1,No
824,824,Female,0,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),25.8,1563.95,No
825,825,Female,0,16,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Credit card (automatic),89.45,1430.25,Yes
826,826,Male,1,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Bank transfer (automatic),95.6,644.35,Yes
827,827,Female,0,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,25.55,372.45,No
828,828,Male,0,60,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Electronic check,90.95,5453.4,Yes
829,829,Male,0,34,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Electronic check,44.85,1442.6,No
830,830,Female,0,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Electronic check,108.55,5610.7,Yes
831,831,Male,0,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),25.05,963.95,No
832,832,Female,0,70,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Credit card (automatic),74.1,5222.3,No
833,833,Female,0,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Electronic check,88.8,3340.55,No
834,834,Female,1,4,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Electronic check,78.85,292.8,Yes
835,835,Male,1,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Electronic check,93.25,5774.55,No
836,836,Male,0,62,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Credit card (automatic),71.4,4487.3,No
837,837,Male,0,1,Yes,No,DSL,No,No,No,No,No,No,Mailed check,44.4,44.4,Yes
838,838,Male,0,36,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Credit card (automatic),79.2,2854.95,No
839,839,Male,0,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.4,905.55,No
840,840,Female,1,55,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,100.0,5509.3,Yes
841,841,Female,0,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Credit card (automatic),105.0,7589.8,No
842,842,Female,0,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.8,229.6,Yes
843,843,Female,0,13,No,No phone service,DSL,Yes,No,No,No,No,Yes,Bank transfer (automatic),30.85,394.1,No
844,844,Male,0,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Electronic check,89.9,89.9,Yes
845,845,Female,0,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.55,295.95,No
846,846,Female,0,65,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),84.85,5459.2,No
847,847,Female,0,12,No,No phone service,DSL,Yes,No,No,No,No,No,Credit card (automatic),33.15,444.75,No
848,848,Male,0,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),92.0,6782.15,No
849,849,Female,0,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),89.8,6510.45,No
850,850,Female,0,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),115.8,8476.5,No
851,851,Male,0,52,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Mailed check,85.15,4461.85,No
852,852,Male,0,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,24.85,62,No
853,853,Female,0,5,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Electronic check,64.35,352.65,No
854,854,Female,0,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.5,1424.9,No
855,855,Female,0,62,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,100.15,6413.65,Yes
856,856,Male,0,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Credit card (automatic),86.05,6309.65,No
857,857,Male,0,1,Yes,No,DSL,No,Yes,No,No,No,No,Electronic check,50.8,50.8,Yes
858,858,Female,0,66,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Electronic check,89.0,5898.6,No
859,859,Male,0,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),64.8,4719.75,No
860,860,Male,0,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.8,457.3,No
861,861,Male,0,64,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Bank transfer (automatic),93.4,5822.3,No
862,862,Male,1,20,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Electronic check,73.65,1463.5,Yes
863,863,Female,0,3,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Electronic check,95.1,307.4,Yes
864,864,Male,0,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Credit card (automatic),94.65,2104.55,Yes
865,865,Male,0,4,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Mailed check,80.6,319.15,Yes
866,866,Male,0,62,No,No phone service,DSL,No,No,No,Yes,No,Yes,Bank transfer (automatic),39.0,2337.45,No
867,867,Female,0,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.5,104.3,No
868,868,Male,0,59,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Electronic check,85.55,5084.65,Yes
869,869,Male,0,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,26.4,121.25,No
870,870,Female,0,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Bank transfer (automatic),98.2,7015.9,No
871,871,Male,0,57,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),97.55,5598,No
872,872,Male,0,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.95,1269.1,No
873,873,Female,0,60,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Electronic check,50.8,3027.4,Yes
874,874,Male,0,45,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Bank transfer (automatic),99.7,4634.35,No
875,875,Female,0,3,No,No phone service,DSL,No,No,No,Yes,No,Yes,Credit card (automatic),34.8,113.95,No
876,876,Female,0,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Electronic check,105.1,1582.75,Yes
877,877,Female,0,51,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Bank transfer (automatic),60.15,3077,No
878,878,Female,0,60,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Electronic check,64.75,4039.5,No
879,879,Male,0,33,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Bank transfer (automatic),54.65,1665.2,No
880,880,Male,0,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,110.1,1043.3,Yes
881,881,Male,1,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.3,504.2,No
882,882,Female,0,6,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Electronic check,83.9,497.55,Yes
883,883,Female,0,67,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Electronic check,111.25,7511.65,No
884,884,Female,0,49,No,No phone service,DSL,Yes,No,No,No,No,Yes,Credit card (automatic),35.8,1782,No
885,885,Male,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.05,20.05,No
886,886,Female,1,7,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Electronic check,84.35,609.65,No
887,887,Female,1,27,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),110.5,2857.6,No
888,888,Male,0,37,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Credit card (automatic),91.2,3247.55,No
889,889,Female,0,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Electronic check,100.55,6215.35,Yes
890,890,Male,0,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Electronic check,89.3,2823,No
891,891,Male,0,50,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),103.85,5017.9,Yes
892,892,Male,1,32,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Credit card (automatic),81.1,2619.25,No
893,893,Female,0,1,No,No phone service,DSL,No,No,No,No,No,No,Electronic check,24.6,24.6,Yes
894,894,Female,0,63,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Credit card (automatic),81.2,4965.1,No
895,895,Male,0,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Credit card (automatic),94.3,2679.7,No
896,896,Male,0,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),116.1,8310.55,No
897,897,Female,0,53,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Electronic check,105.55,5682.25,No
898,898,Female,0,12,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Bank transfer (automatic),98.9,1120.95,Yes
899,899,Male,0,50,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Credit card (automatic),94.4,4914.9,No
900,900,Female,0,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.5,27.55,No
901,901,Female,0,9,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Credit card (automatic),98.3,923.5,Yes
902,902,Male,0,17,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Electronic check,93.85,1625.65,Yes
903,903,Female,0,56,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),105.6,6068.65,No
904,904,Male,0,67,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),81.35,5398.6,No
905,905,Male,1,9,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,100.5,918.6,Yes
906,906,Male,0,4,Yes,No,DSL,No,No,No,Yes,No,Yes,Electronic check,56.4,234.85,No
907,907,Male,0,19,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Bank transfer (automatic),65.35,1231.85,No
908,908,Female,0,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.95,170.9,No
909,909,Female,0,71,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Electronic check,111.25,7984.15,No
910,910,Male,1,10,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Electronic check,72.85,688.65,Yes
911,911,Female,1,15,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Credit card (automatic),89.0,1288.3,No
912,912,Male,0,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),106.1,7848.5,No
913,913,Male,0,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.05,267,No
914,914,Male,0,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),25.2,1798.9,No
915,915,Male,1,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Electronic check,73.55,73.55,Yes
916,916,Female,1,23,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Bank transfer (automatic),75.4,1643.55,No
917,917,Male,0,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),65.55,4807.45,No
918,918,Female,0,26,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Electronic check,80.7,2193,No
919,919,Female,0,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Mailed check,104.55,2239.4,No
920,920,Male,0,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),24.15,1505.9,No
921,921,Male,0,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.45,255.35,No
922,922,Male,0,16,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Electronic check,75.4,1189.4,No
923,923,Female,0,63,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),79.7,4786.15,No
924,924,Female,1,22,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Electronic check,81.7,1820.9,No
925,925,Female,0,32,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Bank transfer (automatic),76.3,2404.15,No
926,926,Female,1,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Electronic check,79.4,205.05,Yes
927,927,Female,0,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Electronic check,81.15,952.3,Yes
928,928,Female,0,68,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),103.75,7039.45,No
929,929,Female,0,30,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Electronic check,86.45,2538.05,No
930,930,Female,0,16,Yes,No,Fiber optic,No,Yes,No,No,No,No,Bank transfer (automatic),75.1,1212.85,No
931,931,Male,0,33,Yes,No,Fiber optic,No,Yes,No,No,No,No,Bank transfer (automatic),80.6,2651.1,No
932,932,Male,0,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.3,1304.8,No
933,933,Female,1,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Electronic check,84.6,360.1,Yes
934,934,Female,0,12,No,No phone service,DSL,Yes,No,No,No,No,Yes,Mailed check,33.6,435.45,No
935,935,Female,1,4,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Electronic check,83.25,308.05,No
936,936,Female,0,0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Mailed check,80.85, ,No
937,937,Female,0,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Electronic check,79.05,434.5,Yes
938,938,Female,0,65,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),108.05,7118.9,No
939,939,Female,0,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.9,320.45,No
940,940,Female,0,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),21.05,531.55,No
941,941,Female,0,13,No,No phone service,DSL,No,Yes,No,No,No,No,Electronic check,30.15,382.2,No
942,942,Male,0,24,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Credit card (automatic),79.85,2001,No
943,943,Female,0,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),65.5,4919.7,No
944,944,Female,0,54,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),104.1,5645.8,No
945,945,Female,0,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Bank transfer (automatic),74.4,215.8,Yes
946,946,Male,0,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.5,77.6,No
947,947,Female,1,32,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Mailed check,91.35,2896.55,No
948,948,Male,1,35,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,99.05,3395.8,Yes
949,949,Male,0,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.5,759.35,No
950,950,Male,1,2,Yes,No,DSL,No,No,No,No,No,No,Mailed check,44.95,85.15,Yes
951,951,Female,0,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Electronic check,75.6,535.55,No
952,952,Male,0,22,Yes,No,DSL,Yes,No,No,No,No,No,Mailed check,55.1,1253.15,No
953,953,Female,0,15,Yes,No,DSL,Yes,No,Yes,No,No,No,Electronic check,58.95,955.15,No
954,954,Male,0,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Electronic check,95.1,2162.6,No
955,955,Male,0,1,Yes,No,DSL,No,No,No,No,No,No,Credit card (automatic),44.7,44.7,Yes
956,956,Female,0,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),25.45,1813.35,No
957,957,Male,0,4,Yes,No,DSL,Yes,No,Yes,No,No,No,Electronic check,56.75,245.15,No
958,958,Male,0,25,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Bank transfer (automatic),81.75,2028.8,No
959,959,Female,0,32,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Electronic check,86.1,2723.75,No
960,960,Male,1,7,No,No phone service,DSL,Yes,No,No,No,No,No,Bank transfer (automatic),29.8,220.45,No
961,961,Male,0,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.5,365.8,No
962,962,Male,1,8,Yes,No,DSL,Yes,No,No,Yes,No,No,Bank transfer (automatic),60.9,551.95,No
963,963,Female,1,56,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Bank transfer (automatic),73.25,4054.2,No
964,964,Male,0,1,Yes,No,DSL,No,No,No,No,No,Yes,Mailed check,45.7,45.7,Yes
965,965,Male,1,8,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Credit card (automatic),100.3,832.35,Yes
966,966,Male,0,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,19.25,112.3,Yes
967,967,Male,0,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.85,60.65,No
968,968,Female,0,71,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Credit card (automatic),77.35,5550.1,No
969,969,Female,0,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Electronic check,96.0,174.8,Yes
970,970,Female,0,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Electronic check,90.55,90.55,Yes
971,971,Male,0,49,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Bank transfer (automatic),93.85,4733.1,No
972,972,Male,0,58,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Bank transfer (automatic),70.1,4048.95,No
973,973,Male,1,44,No,No phone service,DSL,No,Yes,No,No,No,Yes,Electronic check,30.35,1359.7,Yes
974,974,Female,0,59,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),75.95,4542.35,No
975,975,Male,0,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Electronic check,108.05,7532.15,Yes
976,976,Male,0,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Electronic check,69.9,69.9,Yes
977,977,Female,0,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Electronic check,75.25,888.65,No
978,978,Male,1,62,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Electronic check,103.75,6383.35,Yes
979,979,Female,0,35,Yes,No,DSL,Yes,No,No,No,No,Yes,Bank transfer (automatic),54.95,1916,No
980,980,Female,0,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),19.5,413,No
981,981,Male,0,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.6,808.95,No
982,982,Female,0,39,Yes,No,DSL,Yes,No,No,No,No,Yes,Electronic check,47.85,1886.4,No
983,983,Male,0,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Electronic check,86.6,86.6,Yes
984,984,Female,0,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),23.75,1679.25,No
985,985,Female,1,33,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Bank transfer (automatic),80.6,2656.5,Yes
986,986,Female,0,12,Yes,No,DSL,No,No,No,No,No,No,Bank transfer (automatic),43.8,540.95,No
987,987,Male,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.75,19.75,No
988,988,Male,0,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.15,537.35,No
989,989,Male,0,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.6,678.8,No
990,990,Female,0,56,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Bank transfer (automatic),80.3,4513.65,No
991,991,Female,0,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),24.35,1423.85,No
992,992,Female,0,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),25.25,555.4,No
993,993,Female,0,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),26.1,225.55,No
994,994,Male,0,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.0,268.45,No
995,995,Female,0,35,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Credit card (automatic),85.3,2917.5,Yes
996,996,Female,0,34,Yes,No,Fiber optic,No,No,No,No,No,Yes,Credit card (automatic),70.0,2416.1,Yes
997,997,Female,1,4,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Electronic check,94.3,424.45,Yes
998,998,Male,0,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.7,1492.1,No
999,999,Male,0,2,Yes,No,DSL,No,No,No,Yes,Yes,No,Electronic check,70.3,132.4,No
1000,1000,Female,0,7,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,95.35,660.9,Yes
1001,1001,Male,1,27,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Electronic check,75.5,1893.95,Yes
1002,1002,Male,0,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Mailed check,69.55,284.9,No
1003,1003,Female,0,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.85,784.25,No
1004,1004,Male,0,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.0,417.7,No
1005,1005,Female,1,53,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Credit card (automatic),95.85,5016.25,No
1006,1006,Female,0,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Electronic check,90.1,1612.75,Yes
1007,1007,Female,0,2,Yes,No,Fiber optic,No,No,No,No,No,No,Electronic check,68.95,119.75,Yes
1008,1008,Male,0,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),99.55,3204.65,Yes
1009,1009,Male,1,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,20.75,485.2,No
1010,1010,Male,0,3,Yes,No,DSL,Yes,No,No,No,No,Yes,Mailed check,50.15,160.85,No
1011,1011,Female,0,71,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Mailed check,58.65,4145.25,No
1012,1012,Male,0,9,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Bank transfer (automatic),95.9,827.45,No
1013,1013,Female,0,1,Yes,No,DSL,No,Yes,No,No,No,No,Electronic check,49.5,49.5,No
1014,1014,Male,0,18,Yes,No,DSL,No,No,Yes,No,Yes,No,Electronic check,57.45,990.85,Yes
1015,1015,Male,0,12,Yes,No,DSL,No,No,No,No,Yes,No,Credit card (automatic),53.65,696.35,Yes
1016,1016,Male,0,71,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Mailed check,80.1,5585.4,No
1017,1017,Female,0,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),24.4,1601.2,No
1018,1018,Male,0,4,No,No phone service,DSL,No,No,No,No,Yes,Yes,Electronic check,40.05,162.45,No
1019,1019,Female,0,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.5,470.2,No
1020,1020,Female,0,39,Yes,No,DSL,Yes,No,No,No,No,No,Credit card (automatic),51.05,2066,No
1021,1021,Male,0,28,Yes,No,DSL,Yes,No,No,No,No,No,Mailed check,54.35,1426.45,No
1022,1022,Female,1,5,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Electronic check,84.7,392.5,No
1023,1023,Female,1,45,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Electronic check,86.1,3861.45,No
1024,1024,Male,0,37,Yes,No,Fiber optic,No,No,No,No,No,Yes,Mailed check,70.35,2552.9,No
1025,1025,Female,1,60,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),110.0,6668.35,No
1026,1026,Male,1,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,100.6,819.4,Yes
1027,1027,Female,0,47,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Credit card (automatic),94.9,4615.25,No
1028,1028,Male,0,26,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Electronic check,83.75,2070.6,Yes
1029,1029,Female,1,3,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Mailed check,88.3,273.75,Yes
1030,1030,Female,0,50,Yes,No,Fiber optic,No,No,No,No,No,Yes,Bank transfer (automatic),69.75,3557.7,No
1031,1031,Male,0,27,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Bank transfer (automatic),71.6,1957.1,No
1032,1032,Female,1,8,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,92.1,729.95,Yes
1033,1033,Female,0,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),23.65,1416.75,No
1034,1034,Female,0,71,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Bank transfer (automatic),81.85,5924.4,No
1035,1035,Male,0,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,25.1,1697.7,No
